video_name,condition,block
flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4,1,2
yt-1icEOZdgkVY_35.mp4,1,2
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,1,2
yt-cs7e8XeuSGw_61.mp4,1,2
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,1,2
yt-hhmiJzI5caA_52.mp4,1,2
flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4,1,2
yt-2dK-i-Ie1Yg_68.mp4,1,2
yt-TUdnj4CVFmQ_416.mp4,1,2
yt-K2Ysv5Y6tYo_297.mp4,1,2
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,1,2
flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4,1,2
yt-rjfxunCrhMk_6.mp4,1,2
yt-8N5UuN5WQcY_72.mp4,0,2
yt-a9HzBJRWEJw_101.mp4,1,2
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,1,2
yt-1iRW2U2jNPA_888.mp4,1,2
yt-iW8qXrKxfsk_18.mp4,1,2
flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4,1,2
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,1,2
yt-6NvNV3ko88Q_96.mp4,0,2
yt-7we4oftPEXo_245.mp4,1,2
yt-Hdv-QIhFago_254.mp4,1,2
yt-gknOwYMSbPs_2.mp4,1,2
yt-5K_c4LG7CEE_35.mp4,1,2
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,1,2
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,1,2
yt-dUQG4COAK54_46.mp4,1,2
yt-2TgcUjTyD4s_263.mp4,0,2
yt-lMvo3DnAz2I_37.mp4,1,2
yt-F0Ede8UiICQ_38.mp4,1,2
yt-0IxYqinsuz8_7.mp4,1,2
flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4,1,2
yt-0mDoMNL_CI0_35.mp4,0,2
yt-2Joztxgo5Sw_180.mp4,1,2
3PJaYWt0cws_5.mp4,1,2
yt-V9hKfvFLDQo_816.mp4,1,2
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,1,2
yt-uFP2jKxjIwo_718.mp4,1,2
yt-0QzC8ORgZlM_35.mp4,1,2
yt-O2JT20EG6yI_111.mp4,1,2
yt-S0dAccaitok_119.mp4,1,2
9hlyu-wDkg4_4.mp4,1,2
flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4,1,2
yt-gvcE-VktSSg_23.mp4,1,2
yt-AXeXiTb9ntA_162.mp4,1,2
yt-9R3WOWjYHMs_3.mp4,1,2
yt-M1ZSKh7JbQQ_36.mp4,1,2
yt-UdFXugWdS94_32.mp4,1,2
yt-NQKRncc6YX8_35.mp4,1,2
yt-iHn1BwC1p1I_31.mp4,1,2
yt-gvcE-VktSSg_23.mp4,1,3
9hlyu-wDkg4_4.mp4,1,3
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,1,3
yt-0QzC8ORgZlM_35.mp4,1,3
yt-dUQG4COAK54_46.mp4,1,3
yt-rjfxunCrhMk_6.mp4,1,3
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,1,3
yt-2Joztxgo5Sw_180.mp4,1,3
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,1,3
yt-gknOwYMSbPs_2.mp4,1,3
yt-9R3WOWjYHMs_3.mp4,1,3
yt-2dK-i-Ie1Yg_68.mp4,1,3
yt-0mDoMNL_CI0_35.mp4,0,3
flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4,1,3
yt-DIFZsE_EKLA_115.mp4,0,3
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,1,3
yt-TUdnj4CVFmQ_416.mp4,1,3
yt-2TgcUjTyD4s_263.mp4,0,3
yt-1iRW2U2jNPA_888.mp4,1,3
yt-M1ZSKh7JbQQ_36.mp4,1,3
yt-7we4oftPEXo_245.mp4,1,3
flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4,1,3
flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4,1,3
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,1,3
yt-4GeYyT0lwQ0_20.mp4,1,3
3PJaYWt0cws_5.mp4,1,3
yt-0IxYqinsuz8_7.mp4,1,3
yt-MMycfMcM9oM_297.mp4,1,3
yt-O2JT20EG6yI_111.mp4,1,3
yt-iW8qXrKxfsk_18.mp4,1,3
yt-5XzkGZ-lE-w_3.mp4,0,3
yt-iHn1BwC1p1I_31.mp4,1,3
yt-Hdv-QIhFago_254.mp4,1,3
yt-hhmiJzI5caA_52.mp4,1,3
yt-cs7e8XeuSGw_61.mp4,1,3
yt-1icEOZdgkVY_35.mp4,1,3
flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4,1,3
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,1,3
yt-V9hKfvFLDQo_816.mp4,1,3
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,1,3
yt-AXeXiTb9ntA_162.mp4,1,3
yt-a9HzBJRWEJw_101.mp4,1,3
yt-UdFXugWdS94_32.mp4,1,3
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,1,3
yt-NQKRncc6YX8_35.mp4,1,3
flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4,1,3
yt-F0Ede8UiICQ_38.mp4,1,3
flickr-8-3-1-6897055831_10.mp4,1,3
yt-5K_c4LG7CEE_35.mp4,1,3
yt--O4Fx2w0FiI_211.mp4,0,3
yt-S0dAccaitok_119.mp4,1,3
yt-uFP2jKxjIwo_718.mp4,1,3
flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4,1,3
yt-K2Ysv5Y6tYo_297.mp4,1,3
yt-lMvo3DnAz2I_37.mp4,1,3
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,1,4
yt-6NvNV3ko88Q_96.mp4,0,4
yt-9R3WOWjYHMs_3.mp4,1,4
vine-Applauding-random-people-in-the-Chicago-airport-mylifeisprep-MmXULbw60hD_3.mp4,0,4
yt-M1ZSKh7JbQQ_36.mp4,1,4
yt-rjfxunCrhMk_6.mp4,1,4
yt-0QzC8ORgZlM_35.mp4,1,4
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,1,4
yt-5K_c4LG7CEE_35.mp4,1,4
yt-K2Ysv5Y6tYo_297.mp4,1,4
flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4,1,4
yt-TUdnj4CVFmQ_416.mp4,1,4
yt-2dK-i-Ie1Yg_68.mp4,1,4
yt-S0dAccaitok_119.mp4,1,4
yt-lMvo3DnAz2I_37.mp4,1,4
flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4,1,4
yt-gknOwYMSbPs_2.mp4,1,4
yt-2Joztxgo5Sw_180.mp4,1,4
vine-M9PQYEhAbIv_1.mp4,0,4
yt-hhmiJzI5caA_52.mp4,1,4
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,1,4
yt-0lhJTF-gqcw_35.mp4,0,4
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,1,4
yt-4GeYyT0lwQ0_20.mp4,1,4
yt-AXeXiTb9ntA_162.mp4,1,4
yt-cs7e8XeuSGw_61.mp4,1,4
yt-1iRW2U2jNPA_888.mp4,1,4
yt-iHn1BwC1p1I_31.mp4,1,4
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,1,4
flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4,1,4
yt-UdFXugWdS94_32.mp4,1,4
flickr-8-3-1-6897055831_10.mp4,1,4
yt-gvcE-VktSSg_23.mp4,1,4
yt-Hdv-QIhFago_254.mp4,1,4
yt-7we4oftPEXo_245.mp4,1,4
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,1,4
flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4,1,4
yt-dUQG4COAK54_46.mp4,1,4
yt-a9HzBJRWEJw_101.mp4,1,4
yt-V9hKfvFLDQo_816.mp4,1,4
yt-1icEOZdgkVY_35.mp4,1,4
yt-uFP2jKxjIwo_718.mp4,1,4
yt-O2JT20EG6yI_111.mp4,1,4
yt-0IxYqinsuz8_7.mp4,1,4
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,1,4
yt-NQKRncc6YX8_35.mp4,1,4
9hlyu-wDkg4_4.mp4,1,4
flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4,1,4
yt-DIFZsE_EKLA_115.mp4,0,4
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,1,4
yt-iW8qXrKxfsk_18.mp4,1,4
yt-F0Ede8UiICQ_38.mp4,1,4
flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4,1,4
3PJaYWt0cws_5.mp4,1,4
yt-MMycfMcM9oM_297.mp4,1,4
